Testing Flow,Actual Protocol,Classification Result,Probability,True Positive
0,http,http,0.96875,True
1,http,http,0.7081174438687392,True
2,http,http,0.9621212121212122,True
3,http,http,0.9621212121212122,True
4,http,http,0.9621212121212122,True
5,http,http,0.9746543778801844,True
6,http,http,0.9621212121212122,True
7,http,http,0.9621212121212122,True
8,http,http,0.7081174438687392,True
9,http,http,0.7081174438687392,True
10,http,http,0.7081174438687392,True
11,http,http,0.7081174438687392,True
12,http,http,0.9786096256684492,True
13,http,http,0.7081174438687392,True
14,http,http,0.9786096256684492,True
15,http,http,0.7081174438687392,True
16,http,http,0.9786096256684492,True
17,http,http,0.7081174438687392,True
18,http,http,0.9786096256684492,True
19,http,http,0.7081174438687392,True
20,http,http,0.9786096256684492,True
21,http,http,0.7081174438687392,True
22,http,http,0.9786096256684492,True
23,http,http,0.7081174438687392,True
24,http,http,0.9786096256684492,True
25,http,http,0.7081174438687392,True
26,http,http,0.9786096256684492,True
27,http,http,0.7081174438687392,True
28,http,http,0.9786096256684492,True
29,http,http,0.7081174438687392,True
30,http,http,0.9786096256684492,True
31,http,http,0.7081174438687392,True
32,http,http,0.9786096256684492,True
33,http,http,0.7081174438687392,True
34,http,http,0.9786096256684492,True
35,http,http,0.7081174438687392,True
36,http,http,0.9786096256684492,True
37,http,http,0.7081174438687392,True
38,http,http,0.9786096256684492,True
39,http,http,0.7081174438687392,True
40,http,http,0.9786096256684492,True
41,http,http,0.7081174438687392,True
42,http,http,0.9786096256684492,True
43,http,http,0.7081174438687392,True
44,http,http,0.9786096256684492,True
45,http,http,0.7081174438687392,True
46,http,http,0.9786096256684492,True
47,http,http,0.7081174438687392,True
48,http,http,0.9786096256684492,True
49,http,http,0.7081174438687392,True
50,http,http,0.9786096256684492,True
51,http,http,0.7081174438687392,True
52,http,http,0.9786096256684492,True
53,http,http,0.7081174438687392,True
54,http,http,0.9786096256684492,True
55,http,http,0.7081174438687392,True
56,http,http,0.9786096256684492,True
57,http,http,0.7081174438687392,True
58,http,http,0.9786096256684492,True
59,http,http,0.7081174438687392,True
60,http,http,0.9786096256684492,True
61,http,http,0.9786096256684492,True
62,http,http,0.7081174438687392,True
63,http,http,0.9786096256684492,True
64,http,http,0.7081174438687392,True
65,http,http,0.9786096256684492,True
66,http,http,0.9786096256684492,True
67,http,http,0.7081174438687392,True
68,http,http,0.9786096256684492,True
69,http,http,0.7081174438687392,True
70,http,http,0.9786096256684492,True
71,http,http,0.7081174438687392,True
72,http,http,0.9786096256684492,True
73,http,http,0.7081174438687392,True
74,http,http,0.9786096256684492,True
75,http,http,0.7081174438687392,True
76,http,http,0.9786096256684492,True
77,http,http,0.7081174438687392,True
78,http,http,0.9786096256684492,True
79,http,http,0.7081174438687392,True
80,http,http,0.9786096256684492,True
81,http,http,0.7081174438687392,True
82,http,http,0.9786096256684492,True
83,http,http,0.7081174438687392,True
84,http,http,0.9786096256684492,True
85,http,http,0.7081174438687392,True
86,http,http,0.9786096256684492,True
87,http,http,0.7081174438687392,True
88,http,http,0.9786096256684492,True
89,http,http,0.7081174438687392,True
90,http,http,0.9786096256684492,True
91,http,http,0.7081174438687392,True
92,http,http,0.9786096256684492,True
93,http,http,0.9786096256684492,True
94,http,http,0.7081174438687392,True
95,http,http,0.9786096256684492,True
96,http,http,0.7081174438687392,True
97,http,http,0.9786096256684492,True
98,http,http,0.7081174438687392,True
99,http,http,0.9786096256684492,True
100,http,http,0.7081174438687392,True
101,http,http,0.9786096256684492,True
102,http,http,0.900804289544236,True
103,http,http,0.9786096256684492,True
104,http,http,0.7081174438687392,True
105,http,http,0.9786096256684492,True
106,http,http,0.7081174438687392,True
107,http,http,0.9786096256684492,True
108,http,http,0.7081174438687392,True
109,http,http,0.9786096256684492,True
110,http,http,0.7081174438687392,True
111,http,http,0.9786096256684492,True
112,http,http,0.7081174438687392,True
113,http,http,0.9786096256684492,True
114,http,http,0.7081174438687392,True
115,http,http,0.9786096256684492,True
116,http,http,0.7081174438687392,True
117,http,http,0.9786096256684492,True
118,http,http,0.7081174438687392,True
119,http,http,0.9786096256684492,True
120,http,http,0.7081174438687392,True
121,http,http,0.9786096256684492,True
122,http,http,0.7081174438687392,True
123,http,http,0.9786096256684492,True
124,http,http,0.7081174438687392,True
125,http,http,0.9786096256684492,True
126,http,http,0.7081174438687392,True
127,http,http,0.9786096256684492,True
128,http,http,0.7081174438687392,True
129,http,http,0.9786096256684492,True
130,http,http,0.7081174438687392,True
131,http,http,0.9786096256684492,True
132,http,http,0.7081174438687392,True
133,http,http,0.9786096256684492,True
134,http,http,0.9767025089605734,True
135,http,http,0.7081174438687392,True
136,http,http,0.9767025089605734,True
137,http,http,0.9767025089605734,True
138,http,http,0.9009009009009009,True
139,http,http,0.9786096256684492,True
140,http,http,0.7081174438687392,True
141,http,http,0.9786096256684492,True
142,http,http,0.7081174438687392,True
143,http,http,0.9786096256684492,True
144,http,http,0.7081174438687392,True
145,http,http,0.9786096256684492,True
146,http,http,0.7081174438687392,True
147,http,http,0.7081174438687392,True
148,http,http,0.9786096256684492,True
149,http,http,0.7081174438687392,True
150,http,http,0.9786096256684492,True
151,http,http,0.7081174438687392,True
152,http,http,0.9786096256684492,True
153,http,http,0.9786096256684492,True
154,http,http,0.7081174438687392,True
155,http,http,0.9786096256684492,True
156,http,http,0.7081174438687392,True
157,http,http,0.9786096256684492,True
158,http,bittorrent,0.9891095451633568,False
159,http,http,0.7081174438687392,True
160,http,http,0.9786096256684492,True
161,http,http,0.7081174438687392,True
162,http,http,0.9786096256684492,True
163,http,http,0.7081174438687392,True
164,http,http,0.9786096256684492,True
165,http,http,0.7081174438687392,True
166,http,http,0.9786096256684492,True
167,http,http,0.7081174438687392,True
168,http,http,0.9786096256684492,True
169,http,http,0.7081174438687392,True
170,http,http,0.9786096256684492,True
171,http,bittorrent,0.9891095451633568,False
172,http,http,0.7081174438687392,True
173,http,http,0.7081174438687392,True
174,http,http,0.9786096256684492,True
175,http,http,0.9786096256684492,True
176,http,http,0.7081174438687392,True
177,http,http,0.9786096256684492,True
178,http,http,0.7081174438687392,True
179,http,http,0.9786096256684492,True
180,http,http,0.7081174438687392,True
181,http,http,0.9009009009009009,True
182,http,http,0.7081174438687392,True
183,http,http,0.9786096256684492,True
184,http,http,0.7081174438687392,True
185,http,http,0.9786096256684492,True
186,http,bittorrent,0.9854280510018215,False
187,http,http,0.7081174438687392,True
188,http,http,0.7081174438687392,True
189,http,http,0.7081174438687392,True
190,http,http,0.9009009009009009,True
191,http,http,0.7081174438687392,True
192,http,http,0.9009009009009009,True
193,http,http,0.7081174438687392,True
194,http,http,0.9009009009009009,True
195,http,http,0.7081174438687392,True
196,http,http,0.9009009009009009,True
197,http,http,0.7081174438687392,True
198,http,http,0.7081174438687392,True
199,http,http,0.9009009009009009,True
200,http,http,0.7081174438687392,True
201,http,http,0.9009009009009009,True
202,http,http,0.7081174438687392,True
203,http,http,0.9009009009009009,True
204,http,http,0.7081174438687392,True
205,http,http,0.9009009009009009,True
206,http,http,0.7081174438687392,True
207,http,http,0.9009009009009009,True
208,http,http,0.7081174438687392,True
209,http,http,0.9009009009009009,True
210,http,http,0.7081174438687392,True
211,http,http,0.9009009009009009,True
212,http,http,0.7081174438687392,True
213,http,http,0.9009009009009009,True
214,http,http,0.7081174438687392,True
215,http,http,0.9009009009009009,True
216,http,http,0.7081174438687392,True
217,http,http,0.9009009009009009,True
218,http,http,0.7081174438687392,True
219,http,http,0.9009009009009009,True
220,http,http,0.7081174438687392,True
221,http,http,0.9009009009009009,True
222,http,http,0.7081174438687392,True
223,http,http,0.9009009009009009,True
224,http,http,0.7081174438687392,True
