Testing Flow,Actual Protocol,Classification Result,Probability,True Positive
0,http,http,0.9672131147540983,True
1,http,http,0.8394557823129252,True
2,http,http,0.9876288659793815,True
3,http,http,0.9876288659793815,True
4,http,http,0.9876288659793815,True
5,http,http,0.875,True
6,http,http,0.9876288659793815,True
7,http,http,0.9876288659793815,True
8,http,http,0.9876288659793815,True
9,http,http,0.8850102669404517,True
10,http,bittorrent,0.6960431654676259,False
11,http,http,0.8394557823129252,True
12,http,bittorrent,0.6960431654676259,False
13,http,http,0.8394557823129252,True
14,http,http,0.9876288659793815,True
15,http,http,0.8394557823129252,True
16,http,http,0.8850102669404517,True
17,http,http,0.8394557823129252,True
18,http,http,0.756544502617801,True
19,http,http,0.8394557823129252,True
20,http,http,0.7542372881355932,True
21,http,http,0.8394557823129252,True
22,http,http,0.7542372881355932,True
23,http,http,0.8394557823129252,True
24,http,http,0.7936507936507936,True
25,http,http,0.8394557823129252,True
26,http,http,0.7542372881355932,True
27,http,http,0.8394557823129252,True
28,http,http,0.7542372881355932,True
29,http,http,0.8394557823129252,True
30,http,http,0.7542372881355932,True
31,http,http,0.8394557823129252,True
32,http,http,0.8850102669404517,True
33,http,http,0.8394557823129252,True
34,http,http,0.7542372881355932,True
35,http,http,0.8394557823129252,True
36,http,http,0.7542372881355932,True
37,http,http,0.8394557823129252,True
38,http,bittorrent,0.6960431654676259,False
39,http,http,0.8394557823129252,True
40,http,http,0.8850102669404517,True
41,http,http,0.8394557823129252,True
42,http,http,0.7542372881355932,True
43,http,http,0.8394557823129252,True
44,http,http,0.8850102669404517,True
45,http,http,0.8394557823129252,True
46,http,http,0.643979057591623,True
47,http,http,0.8394557823129252,True
48,http,http,0.7542372881355932,True
49,http,http,0.8394557823129252,True
50,http,http,0.8850102669404517,True
51,http,http,0.8394557823129252,True
52,http,http,0.7542372881355932,True
53,http,http,0.8394557823129252,True
54,http,http,0.7542372881355932,True
55,http,http,0.8394557823129252,True
56,http,http,0.7542372881355932,True
57,http,http,0.8394557823129252,True
58,http,http,0.7936507936507936,True
59,http,http,0.8394557823129252,True
60,http,http,0.643979057591623,True
61,http,http,0.8394557823129252,True
62,http,http,0.643979057591623,True
63,http,http,0.7542372881355932,True
64,http,http,0.756544502617801,True
65,http,http,0.8394557823129252,True
66,http,http,0.643979057591623,True
67,http,http,0.8394557823129252,True
68,http,http,0.643979057591623,True
69,http,http,0.7542372881355932,True
70,http,http,0.756544502617801,True
71,http,http,0.8394557823129252,True
72,http,http,0.756544502617801,True
73,http,http,0.8394557823129252,True
74,http,http,0.7936507936507936,True
75,http,http,0.8394557823129252,True
76,http,http,0.7936507936507936,True
77,http,http,0.8394557823129252,True
78,http,http,0.643979057591623,True
79,http,http,0.8394557823129252,True
80,http,http,0.7936507936507936,True
81,http,http,0.8394557823129252,True
82,http,http,0.643979057591623,True
83,http,http,0.8394557823129252,True
84,http,http,0.7936507936507936,True
85,http,http,0.8394557823129252,True
86,http,http,0.7936507936507936,True
87,http,http,0.8394557823129252,True
88,http,http,0.643979057591623,True
89,http,http,0.8394557823129252,True
90,http,http,0.7936507936507936,True
91,http,http,0.8394557823129252,True
92,http,http,0.643979057591623,True
93,http,http,0.8394557823129252,True
94,http,http,0.756544502617801,True
95,http,http,0.8394557823129252,True
96,http,http,0.643979057591623,True
97,http,http,0.7542372881355932,True
98,http,http,0.756544502617801,True
99,http,http,0.8394557823129252,True
100,http,http,0.7936507936507936,True
101,http,http,0.8394557823129252,True
102,http,http,0.756544502617801,True
103,http,http,0.8394557823129252,True
104,http,http,0.7936507936507936,True
105,http,http,0.8394557823129252,True
106,http,http,0.7936507936507936,True
107,http,http,0.7936507936507936,True
108,http,http,0.7936507936507936,True
109,http,http,0.8394557823129252,True
110,http,http,0.7542372881355932,True
111,http,http,0.8394557823129252,True
